datetime,Open,High,Low,Close,Volume,avg_prices,sma_close
2025-04-15 11:49:00,768.2,768.3,767.8,768.0,11267,768.075,768.34
2025-04-15 11:50:00,768.0,768.0,767.8,767.85,6429,767.9125,768.1800000000001
2025-04-15 11:51:00,767.85,768.2,767.65,767.65,21983,767.8375000000001,767.99
2025-04-15 11:52:00,767.7,767.7,767.5,767.55,5569,767.6125,767.85
2025-04-15 11:53:00,767.7,768.05,767.65,767.9,7834,767.825,767.79
2025-04-15 11:54:00,768.0,768.0,767.75,767.9,4405,767.9125,767.77
2025-04-15 11:55:00,767.85,768.45,767.85,768.15,6250,768.075,767.8299999999999
2025-04-15 11:56:00,768.45,768.5,768.1,768.4,3210,768.3625000000001,767.9799999999999
2025-04-15 11:57:00,768.4,768.6,768.2,768.4,16896,768.4,768.15
2025-04-15 11:58:00,768.55,768.6,768.2,768.45,6199,768.45,768.26
2025-04-15 11:59:00,768.45,768.6,768.2,768.2,6030,768.3625,768.3199999999999
2025-04-15 12:00:00,768.2,768.45,768.1,768.2,4009,768.2375,768.3299999999999
2025-04-15 12:01:00,768.3,768.4,768.15,768.15,3447,768.25,768.28
2025-04-15 12:02:00,768.35,768.35,767.5,767.55,10882,767.9375,768.11
2025-04-15 12:03:00,767.85,767.85,767.35,767.5,6455,767.6375,767.9200000000001
2025-04-15 12:04:00,767.5,767.5,767.15,767.25,5275,767.35,767.73
2025-04-15 12:05:00,767.25,767.25,766.6,766.8,11106,766.9749999999999,767.4499999999999
2025-04-15 12:06:00,766.9,767.25,766.8,767.25,4866,767.05,767.27
2025-04-15 12:07:00,767.3,767.4,767.0,767.1,4582,767.1999999999999,767.18
2025-04-15 12:08:00,767.25,767.5,767.0,767.3,9934,767.2625,767.14
2025-04-15 12:09:00,767.35,767.5,767.2,767.5,5890,767.3875,767.1899999999999
2025-04-15 12:10:00,767.5,767.55,767.2,767.4,4657,767.4125,767.3100000000001
2025-04-15 12:11:00,767.4,767.6,767.1,767.5,3812,767.4,767.36
2025-04-15 12:12:00,767.55,767.55,767.25,767.5,3525,767.4625,767.4399999999999
2025-04-15 12:13:00,767.5,767.7,767.15,767.2,6124,767.3875,767.42
2025-04-15 12:14:00,767.6,767.8,767.3,767.7,4827,767.5999999999999,767.46
2025-04-15 12:15:00,767.45,767.95,767.4,767.5,8526,767.575,767.48
2025-04-15 12:16:00,767.5,767.75,767.25,767.5,5278,767.5,767.48
2025-04-15 12:17:00,767.6,767.75,767.2,767.55,5154,767.5250000000001,767.49
2025-04-15 12:18:00,767.55,767.55,767.4,767.5,4454,767.5,767.55
2025-04-15 12:19:00,767.55,767.55,767.45,767.55,6622,767.5250000000001,767.52
2025-04-15 12:20:00,767.55,767.65,767.45,767.65,7047,767.5749999999999,767.55
2025-04-15 12:21:00,767.65,767.65,767.3,767.4,6621,767.5,767.53
2025-04-15 12:22:00,767.45,767.45,767.15,767.3,4896,767.3375000000001,767.48
2025-04-15 12:23:00,767.4,767.4,767.1,767.2,10927,767.2750000000001,767.42
2025-04-15 12:24:00,767.35,767.35,767.1,767.25,5801,767.2625,767.3599999999999
2025-04-15 12:25:00,767.3,767.35,767.05,767.25,9814,767.2375,767.28
2025-04-15 12:26:00,767.15,767.5,767.0,767.45,21051,767.2750000000001,767.2900000000001
2025-04-15 12:27:00,767.15,767.45,767.0,767.4,5791,767.25,767.3100000000001
2025-04-15 12:28:00,767.4,767.65,767.35,767.65,6384,767.5125,767.4
2025-04-15 12:29:00,767.65,767.7,767.3,767.4,4920,767.5124999999999,767.4300000000001
2025-04-15 12:30:00,767.4,767.5,767.3,767.5,4309,767.425,767.48
2025-04-15 12:31:00,767.4,767.8,767.4,767.5,4071,767.525,767.49
2025-04-15 12:32:00,767.6,767.7,767.5,767.6,8861,767.6,767.53
2025-04-15 12:33:00,767.7,767.9,767.0,767.2,19946,767.45,767.44
2025-04-15 12:34:00,767.3,767.4,767.0,767.3,17898,767.25,767.42
2025-04-15 12:35:00,767.5,767.55,767.05,767.15,20773,767.3125,767.35
2025-04-15 12:36:00,767.3,767.45,767.15,767.2,4679,767.2750000000001,767.29
2025-04-15 12:37:00,767.25,767.35,767.15,767.15,4717,767.225,767.2
2025-04-15 12:38:00,767.2,767.25,767.0,767.0,5303,767.1125,767.16
2025-04-15 12:39:00,766.95,767.0,766.75,766.95,21953,766.9124999999999,767.09
