datetime,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_20,ema_50,rsi_14,bb_upper_20,bb_lower_20,bb_width_20,vwap,supertrend_10_3,supertrend_10_3_signal,is_support,is_resistance,support_levels,resistance_levels,sr_position,nearest_support,nearest_resistance
2025-04-15 09:58:00,768.75,768.95,767.95,767.95,9866,767.9825000000001,,,768.4644730554201,767.878989829986,766.220768655913,53.781512605042366,769.5976503107518,766.3673496892484,0.0042062164456916325,765.5537083394524,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:59:00,768.0,768.75,767.6,768.2,24617,768.0925,,,768.4115784443361,767.9095622271302,766.2983855713675,52.58620689655228,769.4117003159831,766.7732996840168,0.0034350037683824617,765.5922578403988,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:00:00,768.45,768.45,767.45,767.9,10719,768.1575,,,768.3092627554689,767.9086515388321,766.3611939803335,47.86324786324791,769.2805948781244,767.0344051218757,0.002924126570721067,765.6071068022367,,1,1,0,[762.4],[764.0],1,762.4,
2025-04-15 10:01:00,767.9,767.95,767.6,767.7,6161,768.17,,,768.1874102043752,767.8887799637052,766.4136961771832,47.45762711864449,769.2651568020418,767.0748431979581,0.002851339682731313,765.6148907107046,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:02:00,767.75,767.95,767.5,767.5,13708,768.175,,,768.0499281635002,767.8517533004953,766.4562963270976,44.53781512605075,769.2561786940312,767.0938213059687,0.0028149280932892196,765.6312066449956,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:03:00,767.6,767.6,767.15,767.2,17094,768.1225000000001,,,767.8799425308002,767.7896815575909,766.4854611770153,46.0869565217398,769.2870984173484,766.9579015826517,0.0030323247069271256,765.6478903287099,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:04:00,767.45,767.5,767.1,767.35,4681,768.115,766.6389999999999,,767.7739540246403,767.7478071235347,766.5193646602696,42.59259259259314,769.2982604375892,766.9317395624108,0.003080946049977369,765.6524015169845,,1,1,0,[762.4],[764.0],1,762.4,
2025-04-15 10:05:00,767.25,767.6,767.2,767.55,6339,768.0975000000001,766.762,,767.7291632197122,767.7289683498648,766.5597817324159,47.16981132075411,769.3042681938509,766.8907318061492,0.0031422265893349434,765.6589581468087,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:06:00,767.6,768.0,767.6,767.85,10275,768.0825,766.8489999999999,,767.7533305757698,767.7404951736872,766.6103785272231,46.66666666666652,769.2939693123404,766.8710306876595,0.003154529135452129,765.6716399716964,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:07:00,767.85,768.65,767.85,768.55,16630,768.11,766.922,,767.9126644606159,767.8175908714313,766.6864421143908,54.310344827586235,769.3384350335223,766.8815649664778,0.0031985914348784932,765.6968780686259,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:08:00,768.7,769.0,768.7,768.95,12714,768.15,767.003,,768.1201315684928,767.9254393598665,766.7752090902972,50.92592592592614,769.4347281096774,766.8652718903226,0.0033449928000453474,765.719669309066,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:09:00,769.0,770.7,768.7,770.2,124296,768.2774999999999,767.1010000000001,,768.5361052547943,768.1420641827364,766.9095146161678,55.08474576271208,769.8312645286633,766.7237354713366,0.004044800293288169,765.9906980424817,,1,0,1,[762.4],[764.0],0,762.4,
2025-04-15 10:10:00,770.4,770.55,769.65,770.2,24622,768.38,767.207,,768.8688842038355,768.3380580700948,767.0385532586711,60.74766355140291,770.1533109087111,766.6066890912889,0.004615713341604664,766.0436446334371,,1,0,0,[762.4],[764.0],0,762.4,
2025-04-15 10:11:00,770.15,770.15,768.85,769.6,20285,768.4675,767.271,,769.0151073630684,768.4582430158,767.139002150488,56.03448275862113,770.3023311266065,766.6326688733934,0.004775299219827929,766.0800068729792,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:12:00,769.85,770.0,769.45,769.55,9741,768.5350000000001,767.3560000000001,,769.1220858904547,768.5622198714381,767.233551085763,66.32653061224367,770.4268384263953,766.6431615736049,0.004923232972851528,766.0978641396987,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:13:00,769.55,769.9,769.5,769.6,8455,768.6125,767.444,,769.2176687123639,768.6610560741583,767.3263530039684,64.89361702127584,770.5471902376855,766.6778097623144,0.0050342408890971,766.1132203703232,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:14:00,769.8,769.95,769.45,769.6,10401,768.65,767.5239999999999,,769.2941349698912,768.7504793051909,767.4155156312638,69.31818181818193,770.6325555013154,766.6674444986845,0.005158539000365472,766.1319306627868,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:15:00,769.6,769.8,769.25,769.35,6136,768.6375,767.6309999999999,,769.305307975913,768.8075765142203,767.4913777633711,68.53932584269572,770.5978638223035,766.6771361776966,0.005100879991682443,766.1422572206294,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:16:00,769.55,769.6,768.8,769.45,9761,768.6575,767.745,,769.3342463807305,768.8687597033421,767.5681864785331,72.4137931034481,770.6435765342773,766.6714234657228,0.005167650180417757,766.1576546216241,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:17:00,769.35,769.75,768.7,768.75,38659,768.65,767.8240000000001,,769.2173971045845,768.8574492554047,767.614532106826,66.31578947368294,770.6333517616733,766.6666482383266,0.0051606108415361,766.2130559265357,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:18:00,769.0,769.0,768.7,768.85,6197,768.6949999999999,767.88,,769.1439176836676,768.8567398025091,767.6629818281269,65.95744680850972,770.6521461500455,766.7378538499544,0.005092126656334593,766.2210816179658,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:19:00,768.7,768.9,768.55,768.9,8365,768.73,767.928,,769.0951341469341,768.8608598213177,767.711492344671,64.83516483516412,770.6748717993215,766.7851282006785,0.005059960712659852,766.2315651398968,,1,1,0,[762.4],[764.0],1,762.4,
2025-04-15 10:20:00,768.6,769.9,768.6,769.8,17214,768.825,767.99,,769.2361073175473,768.9503017430969,767.7933946056643,68.93203883495005,770.7847260818278,766.8652739181723,0.00509797699561731,766.2582982689385,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:21:00,769.9,770.2,769.65,770.0,24499,768.94,768.06,,769.3888858540379,769.0502730056592,767.8799281505402,65.59139784946179,770.8916794387362,766.9883205612639,0.0050762853765863765,766.3016516296276,,1,0,1,[762.4],[764.0],1,762.4,
2025-04-15 10:22:00,770.1,770.1,769.65,769.7,8358,769.05,768.122,,769.4511086832304,769.112151767025,767.9513035171857,58.241758241757914,770.9055748151835,767.1944251848164,0.004825628542184666,766.315677857668,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:23:00,769.65,769.65,769.1,769.1,8312,769.145,768.186,,769.3808869465844,769.1109944558798,767.9963504380804,35.89743589743635,770.7836451399688,767.5063548600311,0.004260952460118298,766.3274081897663,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:24:00,769.35,769.4,769.0,769.1,9406,769.2325,768.266,,769.3247095572675,769.1099473648436,768.0396308130577,35.89743589743635,770.6378562949643,767.8271437050356,0.0036539181455914806,766.3400515625142,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:25:00,769.1,769.3,769.0,769.25,5212,769.3175,768.345,,769.3097676458141,769.123285711049,768.0870962713692,44.92753623188397,770.4788399701733,768.1561600298267,0.0030191435140194895,766.3470500959478,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:26:00,769.15,769.2,769.0,769.0,4091,769.375,768.411,,769.2478141166513,769.1115442147586,768.12289641759,42.465753424658345,770.325069249557,768.424930750443,0.0024697169769151116,766.352294324792,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:27:00,769.05,769.15,768.75,768.95,10142,769.3950000000001,768.4670000000001,,769.1882512933211,769.0961590514482,768.1553318521943,41.095890410959164,770.2870113287022,768.502988671298,0.00231873440483002,766.3646534249846,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:28:00,768.9,768.95,768.45,768.7,27710,769.3824999999999,768.5210000000001,,769.0906010346569,769.058429617977,768.1766913874023,38.46153846153868,770.3071763302886,768.4578236697113,0.002403684332016031,766.3946210382173,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:29:00,768.7,768.95,768.3,768.45,16445,769.2950000000001,768.57,,768.9624808277256,769.0004839400744,768.1874093722101,38.46153846153868,770.2251386427536,768.3648613572466,0.00241815855491974,766.4110372245492,,1,1,0,[762.4],[764.0],1,762.4,
2025-04-15 10:30:00,768.55,768.6,768.35,768.6,4565,769.215,768.61,,768.8899846621805,768.9623426124483,768.2035893968293,39.24050632911345,770.0910557540574,768.3389442459427,0.002277791655278036,766.4154456344785,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:31:00,768.9,769.1,768.5,768.5,8993,769.1600000000001,768.6310000000001,,768.8119877297445,768.9183099826913,768.2152133420517,46.26865671641781,770.071678613736,768.2483213862641,0.00237058248930247,766.4248294141754,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:32:00,768.9,769.3,768.55,769.1,17120,769.1375,768.665,,768.8695901837956,768.9356137938636,768.2499108580497,53.246753246753336,770.03067588296,768.24432411704,0.002322538903538076,766.4446802514589,,1,0,1,[762.4],[764.0],1,762.4,
2025-04-15 10:33:00,768.95,769.1,768.4,768.55,12453,769.085,768.6709999999999,,768.8056721470365,768.8988886706385,768.2616790596949,45.97701149425263,769.9871028066085,768.1828971933916,0.002345911847477114,766.4572436065853,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:34:00,768.55,768.6,768.15,768.45,8592,769.0274999999999,768.69,,768.7345377176292,768.8561373686729,768.2690641946089,30.98591549295878,769.9379510160563,768.1170489839435,0.002367798332456026,766.4647370099373,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:35:00,768.35,768.45,768.3,768.3,1825,768.975,768.6979999999999,,768.6476301741034,768.8031719049898,768.2702773634478,25.714285714285054,769.9272825763762,768.0227174236238,0.0024767582206865132,766.4662802931961,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:36:00,768.35,768.35,768.0,768.0,9180,768.9025,768.695,,768.5181041392827,768.7266793426098,768.2596782511557,25.714285714285054,769.9209999289494,767.8840000710507,0.002649230374330638,766.4730482024514,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:37:00,768.1,768.15,768.0,768.0,2631,768.865,768.695,,768.4144833114262,768.6574717861708,768.2494947903261,31.034482758620143,769.959531863404,767.770468136596,0.0028471366583313644,766.474899411049,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 10:38:00,768.05,768.45,767.7,767.9,14527,768.8175,768.69,,768.3115866491411,768.5853316160593,768.2357891122741,29.999999999999247,769.9941477807766,767.6408522192233,0.003060928713970865,766.4848283980804,,1,1,1,[762.4],[764.0],1,762.4,
2025-04-15 10:39:00,767.9,767.95,767.75,767.8,2778,768.7625,768.693,,768.2092693193129,768.5105381288156,768.2186993431653,25.423728813558924,770.0227735709722,767.5022264290279,0.0032787071975340035,766.4864870698623,,1,0,0,[762.4],[764.0],1,762.4,
