datetime,Open,High,Low,Close,Volume
2025-04-25 12:53:00,799.15,800.0,798.75,799.8,65675
2025-04-25 12:54:00,800.0,800.0,798.7,799.1,65110
2025-04-25 12:55:00,799.0,799.0,798.25,798.6,9377
2025-04-25 12:56:00,798.6,799.25,798.4,799.2,12021
2025-04-25 12:57:00,799.1,799.7,799.1,799.7,12359
2025-04-25 12:58:00,799.55,800.0,799.4,799.95,12958
2025-04-25 12:59:00,800.0,800.35,799.95,799.95,18334
2025-04-25 13:00:00,799.95,800.25,799.7,800.15,12141
2025-04-25 13:01:00,800.15,800.9,800.0,800.3,19341
2025-04-25 13:02:00,800.25,800.25,798.35,798.35,27705
2025-04-25 13:03:00,798.4,799.15,798.4,798.95,13729
2025-04-25 13:04:00,798.95,799.0,798.5,799.0,12566
2025-04-25 13:05:00,798.8,799.9,798.65,799.9,18409
2025-04-25 13:06:00,799.9,800.35,799.9,800.25,20282
2025-04-25 13:07:00,800.25,801.0,800.0,800.7,15074
2025-04-25 13:08:00,800.7,800.7,799.9,800.45,18646
2025-04-25 13:09:00,800.45,801.0,800.2,800.5,14802
2025-04-25 13:10:00,800.65,800.7,800.2,800.3,14388
2025-04-25 13:11:00,800.6,800.7,800.2,800.4,31396
2025-04-25 13:12:00,800.4,801.0,800.2,800.45,85140
2025-04-25 13:13:00,800.5,800.65,800.0,800.3,13872
2025-04-25 13:14:00,800.6,801.0,800.0,800.9,17995
2025-04-25 13:15:00,801.0,801.4,800.5,801.4,21317
2025-04-25 13:16:00,801.65,802.0,801.45,801.95,27485
2025-04-25 13:17:00,801.95,802.5,801.75,802.15,38038
2025-04-25 13:18:00,802.15,802.4,801.8,802.4,13565
2025-04-25 13:19:00,802.25,802.5,801.85,802.35,24632
2025-04-25 13:20:00,802.4,802.6,802.0,802.6,15659
2025-04-25 13:21:00,802.7,803.0,802.4,802.9,42876
2025-04-25 13:22:00,802.8,803.0,802.75,802.95,16530
2025-04-25 13:23:00,802.95,803.35,802.9,803.25,25754
2025-04-25 13:24:00,803.2,803.7,803.1,803.55,11753
2025-04-25 13:25:00,803.4,803.8,803.0,803.8,13668
2025-04-25 13:26:00,803.8,803.8,803.0,803.0,14095
2025-04-25 13:27:00,803.0,803.05,802.4,802.4,14799
2025-04-25 13:28:00,802.65,802.7,802.05,802.45,13936
2025-04-25 13:29:00,802.4,803.0,802.0,802.95,30589
2025-04-25 13:30:00,803.0,803.3,802.65,803.0,21314
2025-04-25 13:31:00,803.0,803.7,802.9,803.15,20203
2025-04-25 13:32:00,803.05,803.2,801.7,802.4,33037
2025-04-25 13:33:00,802.4,802.4,801.5,801.7,23309
2025-04-25 13:34:00,801.95,802.7,801.65,802.05,18517
2025-04-25 13:35:00,802.0,802.15,801.7,802.0,19701
2025-04-25 13:36:00,802.0,802.35,801.65,801.8,27071
2025-04-25 13:37:00,801.8,801.95,801.3,801.55,17973
2025-04-25 13:38:00,801.55,801.55,800.7,801.0,15958
2025-04-25 13:39:00,801.0,801.0,800.1,800.65,27626
2025-04-25 13:40:00,800.85,801.35,800.6,801.05,16985
2025-04-25 13:41:00,801.05,801.5,800.85,801.35,17671
